Nomor #,Tanggal,Keterangan,Kode Barang,Nama Barang,Kuantitas,Catatan,Stok Akhir,Nama Departemen,Nama Proyek,No. Lambung,Tipe Penyesuaian,Biaya Satuan,Total Biaya,Nama Gudang
IA.2024.10.05875,2024-10-15,"PEMAKAIAN MG021 SHIFT 2 PIT A9
HM: 7176.2",114471,PERSEDIAAN HSD/SOLAR,242,,2754,A9_P_HE_FUEL,PINANG,MG021 - CAT 14 - BBE,Pengurangan,10711.864657,2592271.246994,BBE
IA.2024.10.05876,2024-10-15,"PEMAKAIAN MG022 SHIFT 2 PIT A9
HM: 3005.7",114471,PERSEDIAAN HSD/SOLAR,346,,2408,A9_P_HE_FUEL,PINANG,MG022 - CAT 16GC - BBE,Pengurangan,10711.864657,3706305.171322,BBE
IA.2024.10.05877,2024-10-15,"PEMAKAIAN MG022 SHIFT 2 PIT A9
HM: 2111",114471,PERSEDIAAN HSD/SOLAR,291,,2117,A9_P_HE_FUEL,PINANG,MG022 - CAT 16GC - BBE,Pengurangan,10711.864657,3117152.615187,BBE
IA.2024.10.05878,2024-10-15,"PEMAKAIAN MDR005 SHIFT 2 PIT A9
HM: 4718.9",114471,PERSEDIAAN HSD/SOLAR,104,,2013,A9_P_HE_FUEL,PINANG,MDR005 - HCR L100-E3 - BBE,Pengurangan,10711.864657,1114033.924328,BBE
IA.2024.10.05879,2024-10-15,"PEMAKAIAN MDR006 SHIFT 2 PIT A9
HM: 3341.2",114471,PERSEDIAAN HSD/SOLAR,166,,1847,A9_P_HE_FUEL,PINANG,MDR006 - HCR L100-E3 - BBE,Pengurangan,10711.864657,1778169.533062,BBE
IA.2024.10.05880,2024-10-15,"PEMAKAIAN MWT001 SHIFT 2 PIT A9
HM: 7428.1",114471,PERSEDIAAN HSD/SOLAR,403,,1444,A9_P_HE_FUEL,PINANG,MWT001 - BBE,Pengurangan,10711.864657,4316881.456771,BBE
IA.2024.10.05881,2024-10-15,"PEMAKAIAN MCP001 SHIFT 2 PIT A9
HM: 8255.2",114471,PERSEDIAAN HSD/SOLAR,74,,1370,A9_P_HE_FUEL,PINANG,MCP001 - BBE,Pengurangan,10711.864657,792677.984618,BBE
IA.2024.10.05882,2024-10-15,"PEMAKAIAN MCP002 SHIFT 2 PIT A9
HM: 7606.7",114471,PERSEDIAAN HSD/SOLAR,67,,1303,A9_P_HE_FUEL,PINANG,MCP002 - BBE,Pengurangan,10711.864657,717694.932019,BBE
IA.2024.10.05883,2024-10-15,"PEMAKAIAN MLT006 SHIFT 2 PIT A9
HM:",114471,PERSEDIAAN HSD/SOLAR,10,,1293,A9_P_HE_FUEL,PINANG,MLT006 - BBE,Pengurangan,10711.864657,107118.64657,BBE
IA.2024.10.05884,2024-10-15,"PEMAKAIAN MLT007 SHIFT 2 PIT A9
HM: 4158.7",114471,PERSEDIAAN HSD/SOLAR,10,,1283,A9_P_HE_FUEL,PINANG,MLT007 - BBE,Pengurangan,10711.864657,107118.64657,BBE
IA.2024.10.05885,2024-10-15,"PEMAKAIAN MMH003 SHIFT 2 PIT A9
HM: 2445",114471,PERSEDIAAN HSD/SOLAR,58,,1225,A9_P_HE_FUEL,PINANG,MMH003 - BBE,Pengurangan,10711.864657,621288.150106,BBE
